grupo_id,grupo,especie_id,especie,especie_activa,variedad_id,variedad,variedad_activa,presentacion_id,presentacion,kg_por_unidad,presentacion_activa,presentacion_default
1,"Hortalizas de Hoja, Brote e Inflorescencias",1,Acelga,1,1,-,1,2,Atado,1.25,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",1,Acelga,1,1,-,1,1,Docena,15,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",2,Albahaca,1,2,-,1,378,Docena,1,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",2,Albahaca,1,2,-,1,5,Planta,2,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",2,Albahaca,1,2,-,1,4,Sobre,0.083,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",2,Albahaca,1,336,Planta,0,627,Docena,2,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",2,Albahaca,1,337,Sobre,0,628,Docena,1,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",3,Alcaucil,1,3,-,1,3,Docena,3,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",3,Alcaucil,1,320,Espina,1,646,Docena,3,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",3,Alcaucil,1,321,Porteño,1,645,Docena,3,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",4,Apio,1,4,Hoja,1,6,Atado,1,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",4,Apio,1,4,Hoja,1,7,Docena,12,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",4,Apio,1,5,Planta,1,9,Atado,1,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",4,Apio,1,5,Planta,1,8,Docena,12,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",5,Berro,1,6,-,1,12,Atado,0.167,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",5,Berro,1,6,-,1,379,Docena,2,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",5,Berro,1,6,-,1,11,Sobre,0.167,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",6,Brócoli,1,7,-,1,13,Docena,12,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",73,Cebolla Verdeo,1,170,-,1,14,Docena,11,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,8,-,1,659,Caja,17,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,8,-,1,23,Docena,5,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,8,-,1,660,Kilo,1,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,9,Común,0,20,Docena,5,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,9,Común,0,19,Envasado,1,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,10,Dulce,0,657,Caja,17,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,10,Dulce,0,22,Docena,5,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,10,Dulce,0,21,Envasado,1,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,10,Dulce,0,658,Kilo,1,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,10,Dulce,0,668,Tabla/Pallat,600,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,193,Importado,0,521,-,5,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,181,Súper Dulce,0,18,Docena,5,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",7,Choclo,1,181,Súper Dulce,0,17,Envasado,1,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",75,Ciboulette,1,179,-,1,16,Atado,0.167,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",75,Ciboulette,1,179,-,1,508,Docena,1,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",75,Ciboulette,1,179,-,1,15,Sobre,0.083,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",8,Col Chino,1,11,-,1,324,Docena,11,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",9,Coliflor,1,12,-,1,24,Docena,11,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",10,Endivia,1,13,-,1,28,Docena,5,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",11,Escarola,1,14,-,1,327,Docena,5,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",12,Espárrago,1,15,-,1,27,Docena,3,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",13,Espinaca,1,16,-,1,25,Docena,6,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",13,Espinaca,1,16,-,1,26,Lavada,6,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",14,Hinojo,1,17,-,1,330,Docena,14,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",91,Kale,1,300,-,1,337,Atado,0.167,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",91,Kale,1,300,-,1,610,Docena,2,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",91,Kale,1,300,-,1,336,Sobre,0.167,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",15,Lechuga,1,18,-,0,380,-,5,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",15,Lechuga,1,21,Crespa,1,30,Docena,5,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",15,Lechuga,1,19,Mantecosa,1,29,Docena,5,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",15,Lechuga,1,249,Otras,1,31,Docena,5,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",15,Lechuga,1,20,Sin cabeza,0,381,-,5,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",95,Mizuna,1,304,-,1,346,Atado,0.167,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",95,Mizuna,1,304,-,1,613,Docena,1,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",95,Mizuna,1,304,-,1,345,Sobre,0.083,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",96,Mostaza,1,305,-,1,347,Atado,0.167,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",96,Mostaza,1,305,-,1,614,Docena,1,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",96,Mostaza,1,305,-,1,348,Sobre,0.083,1,0
